U value 1,U value 2,U value 3,U value 4,U value 5,U value 6,U value 7,U value 8,U value 9,U value 10
217.7505889,-635.6361759,-5891.925556,-23116.54511,-72874.45908,-211067.0361,-589649.9507,-1621681.552,-4429970.843,-12066629.14
217.7505889,-635.6361759,-5891.925556,-23116.54511,-72874.45908,-211067.0361,-589649.9507,-1621681.552,-4429970.843,-12066629.14
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-0.035914091,-0.169452805,-0.704276846,-2.329907502,-6.920657955,-19.57143967,-54.13165792,-148.2478994,-404.2541964,-1100.32329
0.212687269,-0.35562244,-4.134214769,-16.63926001,-52.86526364,-153.5715174,-429.5532634,-1181.983195,-3229.533571,-8797.586318
1.453546354,1.149849511,-6.376983231,-33.53833503,-114.0718432,-339.6859141,-959.6698426,-2651.662188,-7257.675535,-19784.81922
2.724724972,0.080095728,-24.63522654,-109.3449126,-357.1361875,-1048.229182,-2944.341186,-8116.034464,-22191.6808,-60470.78094
9.705144012,4.473720843,-62.15435746,-295.6758478,-982.8606671,-2903.23027,-8175.743662,-22560.3286,-61714.09205,-168197.4633
20.40619161,1.957783631,-176.2021848,-788.5031857,-2580.921866,-7581.232991,-21301.49985,-58725.06394,-160580.8702,-437581.6693
39.81492898,-28.24534947,-539.725915,-2256.547789,-7249.82704,-21149.44084,-59258.982,-163177.9288,-445985.387,-1215062.235
68.07046551,-112.118483,-1312.77602,-5287.354777,-16802.23318,-48813.77109,-136541.0061,-375719.2081,-1026583.821,-2796528.126
128.3927277,-266.7753929,-2814.036726,-11211.29393,-35510.48861,-103035.631,-288061.0814,-792485.4842,-2165126.255,-5897823.803
170.105697,-498.0912361,-4612.125278,-18092.91572,-57035.18986,-165188.9525,-461479.0466,-1269176.712,-3467024.284,-9443691.089
177.2491958,-619.6000878,-5420.474371,-21105.41705,-66376.32508,-192070.2251,-536376.4827,-1474932.74,-4028827.971,-10973669.79
176.8224696,-671.901716,-5736.128269,-22259.2783,-69931.01182,-202273.3738,-564774.3665,-1552911.383,-4241703.433,-11553355.16
176.126765,-678.1743562,-5768.042111,-22371.37368,-70271.54472,-203245.3458,-567473.2494,-1560314.978,-4261906.243,-11608360.32
176.0190228,-678.6827146,-5770.154942,-22378.3634,-70292.30669,-203304.0601,-567635.6443,-1560759.721,-4263119.005,-11611661.29
176.0190228,-678.6827146,-5770.154942,-22378.3634,-70292.30669,-203304.0601,-567635.6443,-1560759.721,-4263119.005,-11611661.29
176.0190228,-678.6827146,-5770.154942,-22378.3634,-70292.30669,-203304.0601,-567635.6443,-1560759.721,-4263119.005,-11611661.29
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.728171817,1.26109439,0.991446308,-1.459815003,-9.84131591,-34.34287935,-102.6633158,-290.0957987,-801.3083928,-2192.646579
2.004944994,2.936019146,-0.547045308,-16.02898252,-64.12723751,-200.8858364,-578.6482371,-1611.526893,-4425.19616,-12079.55619
3.312037703,2.035718168,-18.10101177,-89.50565258,-300.2709239,-889.8576647,-2509.187922,-6927.65127,-18954.94723,-51665.19462
7.123425841,1.262776942,-57.96882054,-262.2776977,-860.947508,-2531.601477,-7116.210504,-19621.77061,-53658.70812,-146223.9975
15.035013,-5.172462586,-170.2439415,-729.0966081,-2358.357522,-6897.289723,-19345.52851,-53293.49167,-145683.7649,-396936.7076
26.70464095,-24.59279115,-396.5172001,-1639.996094,-5252.605706,-15305.1803,-42863.39468,-118006.8716,-322500.5029,-878604.3085
47.09764224,-84.94589708,-953.3480127,-3823.380266,-12134.40735,-35235.5918,-98540.59229,-271130.8953,-740789.4504,-2017963.237
83.62710216,-199.9119994,-1992.685218,-7887.982114,-24935.09457,-72295.98462,-202058.2654,-555810.7495,-1518431.733,-4136128.893
129.5084527,-427.8699356,-3808.69189,-14864.42918,-46782.74937,-135411.4496,-378194.9451,-1040014.62,-2840892.726,-7738052.667
144.3776716,-608.6101831,-5050.21277,-19518.50976,-61242.18792,-177053.6735,-494256.6996,-1358898.691,-3711634.073,-10109426.68
142.6203744,-692.4698415,-5546.432614,-21324.82363,-66798.88942,-192994.1683,-538612.4541,-1480684.312,-4044085.077,-11014714.75
142.116278,-702.4594996,-5602.826084,-21527.97512,-67421.58995,-194777.9408,-543572.9666,-1494300.719,-4081251.263,-11115916.49
141.9726216,-703.1373108,-5605.643192,-21537.29475,-67449.27258,-194856.2266,-543789.4932,-1494893.71,-4082868.28,-11120317.78
141.9726216,-703.1373108,-5605.643192,-21537.29475,-67449.27258,-194856.2266,-543789.4932,-1494893.71,-4082868.28,-11120317.78
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
-0.035914091,-0.169452805,-0.704276846,-2.329907502,-6.920657955,-19.57143967,-54.13165792,-148.2478994,-404.2541964,-1100.32329
0.056343634,-0.27781122,-2.217107385,-8.519630007,-26.68263182,-77.0857587,-215.1266317,-591.3915974,-1615.216786,-4399.293159
2.166233623,1.794227071,-9.011198,-48.17759504,-164.4371068,-490.2574315,-1385.723106,-3829.645383,-10482.70911,-28577.40553
3.090958595,-1.725677201,-39.04642454,-164.7225076,-530.5732944,-1549.286614,-4342.664292,-11960.07985,-32690.58991,-89066.18647
7.803844881,-6.943597943,-114.3879515,-473.8086329,-1518.171988,-4424.402565,-12391.71298,-34116.46475,-93237.81936,-254013.6799
14.25778927,-23.51834504,-275.179559,-1108.240698,-3521.71069,-10231.17735,-28618.37367,-78748.93035,-215166.8867,-586138.3134
29.80328931,-71.40566424,-711.1395275,-2814.735867,-8897.522976,-25796.87204,-72098.68493,-198324.6809,-541807.1315,-1475853.855
53.76546801,-185.0500564,-1626.517708,-6337.132782,-19934.21189,-57687.2047,-161102.7788,-443007.7544,-1210097.227,-3296054.899
94.85806023,-371.7230812,-3146.096142,-12193.69804,-38293.7039,-110746.9496,-309201.3647,-850162.4692,-2322153.283,-6324945.239
116.3995053,-566.6490197,-4535.823093,-17437.61253,-54620.76799,-157807.5195,-440410.6467,-1210718.048,-3306743.114,-9006442.42
115.950998,-671.516257,-5172.477934,-19767.76402,-61802.26872,-178424.3027,-497796.2624,-1368299.661,-3736933.633,-10177908.72
114.6776191,-713.4057374,-5416.701503,-20653.91674,-64525.29387,-186232.3929,-519518.9205,-1427937.964,-3899729.274,-10621207.01
114.2206259,-717.7365855,-5438.951193,-20732.26351,-64763.5169,-186912.5933,-521407.9286,-1433120.241,-3913870.971,-10659710.32
114.1847118,-717.9060383,-5439.65547,-20734.59341,-64770.43756,-186932.1648,-521462.0602,-1433268.488,-3914275.225,-10660810.65
114.1847118,-717.9060383,-5439.65547,-20734.59341,-64770.43756,-186932.1648,-521462.0602,-1433268.488,-3914275.225,-10660810.65
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.420429543,0.352735975,-1.721384231,-9.249537508,-31.60328978,-94.25719837,-266.4582896,-736.4394968,-2015.870982,-5495.616449
1.4430068,-0.530848173,-16.54968962,-70.74676256,-228.7230284,-668.8003886,-1875.708027,-5167.076477,-14124.59687,-38484.31514
2.995903589,-2.989658055,-45.89346985,-189.1514902,-605.2005319,-1762.77245,-4936.012529,-13588.40674,-37134.68607,-101166.7427
6.786212618,-7.123994649,-106.1066914,-436.3403904,-1395.179486,-4062.745211,-11375.11148,-31313.35466,-85572.28963,-233124.5374
13.43241473,-23.60710016,-268.1111295,-1076.562178,-3417.980163,-9926.434312,-27762.06715,-76388.16397,-208711.4195,-568547.1408
24.68350933,-77.34974082,-700.2513463,-2739.019937,-8626.514026,-24975.9287,-69763.79198,-191855.3734,-524080.2469,-1427506.63
49.68310027,-195.0696597,-1650.098968,-6395.001025,-20082.70439,-58079.46206,-162155.0803,-445851.6644,-1217808.656,-3316995.042
81.61330375,-420.0805096,-3319.454156,-12736.39732,-39869.93128,-115162.1521,-321363.2561,-883411.5986,-2412753.023,-6571469.656
97.90874576,-609.5856408,-4627.683981,-17644.93689,-55124.42813,-159099.1773,-443826.7779,-1219891.57,-3331549.32,-9073725.14
96.46843122,-698.473562,-5157.551882,-19576.7854,-61070.52779,-176160.4157,-491305.3685,-1350256.369,-3687425.467,-10042807.96
94.77142751,-714.363521,-5238.999319,-19863.41356,-61941.87201,-178648.1599,-498213.9207,-1369208.9,-3739143.904,-10183620.34
94.79959933,-714.5024266,-5240.107872,-19867.67337,-61955.21332,-178686.7028,-498321.484,-1369504.596,-3739951.513,-10185819.99
94.79959933,-714.5024266,-5240.107872,-19867.67337,-61955.21332,-178686.7028,-498321.484,-1369504.596,-3739951.513,-10185819.99
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2
0.292257726,0.291641585,-0.912830538,-5.389722505,-18.76197387,-56.31431902,-159.5949738,-441.5436981,-1209.162589,-3296.969869
0.869030903,0.566566341,-4.551322154,-22.75889002,-76.54789546,-227.0572761,-640.4798951,-1768.574792,-4839.350357,-13190.87948
3.476123612,2.266265363,-18.20528862,-91.03556008,-306.1915818,-908.2291044,-2561.91958,-7074.299169,-19357.40143,-52763.51791
5.802346732,-4.698618426,-82.21423331,-341.8945528,-1096.749879,-3197.630426,-8957.386873,-24662.99919,-67404.2508,-183635.9894
11.35759025,-15.45604673,-199.1722468,-809.3938331,-2578.97726,-7500.032913,-20987.67825,-57761.72865,-157834.7908,-429972.4063
18.77666815,-54.11618384,-503.8159585,-1977.783144,-6235.99782,-18062.58185,-50462.12679,-138784.7775,-379122.1904,-1032678.569
31.09244571,-147.4151722,-1187.482389,-4569.511406,-14317.65263,-41370.68098,-115463.2696,-317422.6399,-866959.9596,-2361312.103
49.53933888,-286.5385795,-2207.693542,-8437.534632,-26379.59892,-76158.78671,-212480.2488,-584048.0024,-1595081.476,-4344362.994
74.90765668,-481.6207424,-3633.662641,-13841.04172,-43226.81565,-124744.8718,-347973.1634,-956409.813,-2611951.342,-7113819.038
82.07887678,-620.9394574,-4551.094397,-17253.51613,-53801.43128,-155168.1179,-432730.493,-1189242.407,-3247674.147,-8845090.896
79.48696458,-698.9512499,-5003.884924,-18894.82712,-58843.24211,-169623.2119,-472943.3098,-1299641.74,-3549029.978,-9665690.07
77.81533541,-716.3524538,-5094.80079,-19216.3338,-59822.31686,-172420.4992,-480713.7686,-1320961.437,-3607211.082,-9824101.624
77.74350723,-716.6913594,-5096.209344,-19220.99362,-59836.15817,-172459.6421,-480822.0319,-1321257.933,-3608019.59,-9826302.271
77.74350723,-716.6913594,-5096.209344,-19220.99362,-59836.15817,-172459.6421,-480822.0319,-1321257.933,-3608019.59,-9826302.271
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
0.428171817,0.66109439,0.091446308,-2.659815003,-11.34131591,-36.14287935,-104.7633158,-292.4957987,-804.0083928,-2195.646579
1.325374537,1.088755121,-5.568429539,-29.67852003,-101.2305273,-301.7430348,-852.8065267,-2356.76639,-6450.967142,-17586.17264
1.876123612,-0.933734637,-23.00528862,-97.43556008,-314.1915818,-917.8291044,-2573.11958,-7087.099169,-19371.80143,-52779.51791
4.062137212,-3.395430984,-58.20466785,-241.7290852,-775.1376387,-2259.629882,-6329.435635,-17426.85212,-47627.29517,-129755.1482
8.061686665,-13.06638868,-154.178777,-621.442343,-1975.276729,-5739.060463,-16053.76572,-44175.72191,-120702.8047,-328808.6636
14.06722871,-43.71726444,-396.8477588,-1552.811921,-4891.104255,-14161.5796,-39557.40023,-108786.4539,-297166.5885,-809432.9412
26.34109959,-112.2057876,-928.5235932,-3587.21377,-11253.99129,-32534.16161,-90819.37023,-249694.702,-682002.3377,-1857576.036
37.72031349,-211.2828881,-1638.861097,-6270.138332,-19609.97241,-56622.11832,-157982.2793,-434258.4804,-1186005.775,-3230217.502
53.41216215,-347.9111654,-2618.421549,-9969.909143,-31132.92475,-89839.566,-250600.3626,-688773.1152,-1881029.747,-5123098.884
67.83038044,-557.9621791,-4034.886992,-15261.9928,-47556.27477,-137117.0789,-382344.4295,-1050717.325,-2869319.065,-7814566.974
68.57842623,-665.6104151,-4699.568506,-17703.22939,-55089.07037,-158752.5484,-442577.3231,-1216131.276,-3320907.157,-9044319.412
